dataset	split	task	arm	fit	correct	correct_grids	test_grids	oracle_chosen_family	selected_program	oracle_witness
ARC1	evaluation	a57f2f04	complete	false	false	0	1	NA	id	
ARC1	evaluation	a57f2f04	grid_d2	false	false	0	1	false		
ARC1	evaluation	a57f2f04	objects	false	false	0	1	false		
ARC1	evaluation	a57f2f04	grid_objects	false	false	0	1	false		
ARC1	evaluation	baf41dbf	complete	false	false	0	1	NA	id	
ARC1	evaluation	baf41dbf	grid_d2	false	false	0	1	false		
ARC1	evaluation	baf41dbf	objects	false	false	0	1	false		
ARC1	evaluation	baf41dbf	grid_objects	false	false	0	1	false		
ARC1	evaluation	16b78196	complete	false	false	0	1	NA	id	
ARC1	evaluation	16b78196	grid_d2	false	false	0	1	false		
ARC1	evaluation	16b78196	objects	false	false	0	1	false		
ARC1	evaluation	16b78196	grid_objects	false	false	0	1	false		
ARC1	evaluation	e21a174a	complete	false	false	0	2	NA	id	
ARC1	evaluation	e21a174a	grid_d2	false	false	0	2	false		
ARC1	evaluation	e21a174a	objects	false	false	0	2	false		
ARC1	evaluation	e21a174a	grid_objects	false	false	0	2	false		
ARC1	evaluation	84db8fc4	complete	true	true	1	1	NA	fillEnclosed 5 ; recolour 0 2	
ARC1	evaluation	84db8fc4	grid_d2	true	true	1	1	true	fillEnclosed 5 ; recolour 0 2	fillEnclosed 5 ; recolour 0 2
ARC1	evaluation	84db8fc4	objects	false	false	0	1	false		
ARC1	evaluation	84db8fc4	grid_objects	true	true	1	1	true	fillEnclosed 5 ; recolour 0 2	fillEnclosed 5 ; recolour 0 2
ARC1	evaluation	8cb8642d	complete	false	false	0	1	NA	id	
ARC1	evaluation	8cb8642d	grid_d2	false	false	0	1	false		
ARC1	evaluation	8cb8642d	objects	false	false	0	1	false		
ARC1	evaluation	8cb8642d	grid_objects	false	false	0	1	false		
ARC1	evaluation	4f537728	complete	false	false	0	1	NA	id	
ARC1	evaluation	4f537728	grid_d2	false	false	0	1	false		
ARC1	evaluation	4f537728	objects	false	false	0	1	false		
ARC1	evaluation	4f537728	grid_objects	false	false	0	1	false		
ARC1	training	1190e5a7	complete	false	false	0	1	NA	id	
ARC1	training	1190e5a7	grid_d2	false	false	0	1	false		
ARC1	training	1190e5a7	objects	false	false	0	1	false		
ARC1	training	1190e5a7	grid_objects	false	false	0	1	false		
ARC1	evaluation	9bebae7a	complete	false	false	0	1	NA	id	
ARC1	evaluation	9bebae7a	grid_d2	false	false	0	1	false		
ARC1	evaluation	9bebae7a	objects	false	false	0	1	false		
ARC1	evaluation	9bebae7a	grid_objects	false	false	0	1	false		
ARC1	evaluation	2037f2c7	complete	false	false	0	1	NA	id	
ARC1	evaluation	2037f2c7	grid_d2	false	false	0	1	false		
ARC1	evaluation	2037f2c7	objects	false	false	0	1	false		
ARC1	evaluation	2037f2c7	grid_objects	false	false	0	1	false		
ARC1	training	c444b776	complete	false	false	0	1	NA	id	
ARC1	training	c444b776	grid_d2	false	false	0	1	false		
ARC1	training	c444b776	objects	false	false	0	1	false		
ARC1	training	c444b776	grid_objects	false	false	0	1	false		
ARC1	training	6d0aefbc	complete	true	true	1	1	NA	hconcatFlip	
ARC1	training	6d0aefbc	grid_d2	true	true	1	1	true	hconcatFlip	hconcatFlip
ARC1	training	6d0aefbc	objects	false	false	0	1	false		
ARC1	training	6d0aefbc	grid_objects	true	true	1	1	true	hconcatFlip	hconcatFlip
ARC1	training	85c4e7cd	complete	false	false	0	1	NA	id	
